date,open,high,low,close,volume,weekday
2015-01-01 00:00:00+05:30,813.5,823.05,812.35,815.2,66592,3
2015-01-02 00:00:00+05:30,814.2,824.85,804.05,806.85,165833,4
2015-01-05 00:00:00+05:30,808.95,821.3,801.0,811.5,145133,0
2015-01-06 00:00:00+05:30,809.0,831.6,780.0,790.7,461406,1
2015-01-07 00:00:00+05:30,786.05,821.65,786.0,814.5,280672,2
2015-01-08 00:00:00+05:30,820.3,829.9,817.0,825.0,217484,3
2015-01-09 00:00:00+05:30,831.05,834.9,810.1,815.75,183930,4
2015-01-12 00:00:00+05:30,820.0,821.2,806.0,816.3,142237,0
2015-01-13 00:00:00+05:30,813.0,825.65,812.2,821.95,240900,1
2015-01-14 00:00:00+05:30,822.5,854.8,817.8,841.1,348127,2
2015-01-15 00:00:00+05:30,859.95,860.0,842.1,847.8,268236,3
2015-01-16 00:00:00+05:30,850.0,859.9,842.95,848.15,241941,4
2015-01-19 00:00:00+05:30,841.1,852.95,826.3,828.5,142701,0
2015-01-20 00:00:00+05:30,834.4,842.15,828.5,832.05,159400,1
2015-01-21 00:00:00+05:30,834.35,834.35,812.05,820.85,164645,2
2015-01-22 00:00:00+05:30,820.3,835.0,813.9,823.05,121880,3
2015-01-23 00:00:00+05:30,826.0,868.4,816.0,849.4,367636,4
2015-01-27 00:00:00+05:30,854.9,895.9,850.7,892.65,577002,1
2015-01-28 00:00:00+05:30,845.0,948.0,839.95,919.6,909079,2
2015-01-29 00:00:00+05:30,928.6,940.0,890.0,895.0,297624,3
2015-01-30 00:00:00+05:30,898.65,900.0,854.0,860.45,234428,4
2015-02-02 00:00:00+05:30,864.0,900.0,864.0,893.25,150332,0
2015-02-03 00:00:00+05:30,899.9,921.95,889.9,917.5,466022,1
2015-02-04 00:00:00+05:30,917.0,939.0,897.95,922.15,202733,2
2015-02-05 00:00:00+05:30,922.0,931.4,902.0,910.7,93309,3
2015-02-06 00:00:00+05:30,914.0,918.95,880.15,886.8,134064,4
2015-02-09 00:00:00+05:30,882.95,882.95,860.0,864.55,86475,0
2015-02-10 00:00:00+05:30,864.55,865.0,829.0,837.85,245072,1
2015-02-11 00:00:00+05:30,840.25,852.0,835.0,839.7,191907,2
2015-02-12 00:00:00+05:30,842.0,864.05,830.0,855.65,198695,3
2015-02-13 00:00:00+05:30,860.0,895.9,858.0,886.5,328120,4
2015-02-16 00:00:00+05:30,894.95,899.8,874.4,881.25,163492,0
2015-02-18 00:00:00+05:30,881.25,885.45,861.2,880.4,375142,2
2015-02-19 00:00:00+05:30,882.4,891.9,869.0,875.25,144891,3
2015-02-20 00:00:00+05:30,877.0,901.0,872.0,898.65,205560,4
2015-02-23 00:00:00+05:30,909.7,913.7,873.5,877.35,120491,0
2015-02-24 00:00:00+05:30,875.0,894.95,875.0,880.1,161835,1
2015-02-25 00:00:00+05:30,883.0,889.8,878.05,880.0,48645,2
2015-02-26 00:00:00+05:30,880.0,880.0,855.5,857.55,96090,3
2015-02-27 00:00:00+05:30,860.1,890.0,855.5,887.2,172124,4
2015-03-02 00:00:00+05:30,882.0,888.0,867.05,875.4,123927,0
2015-03-03 00:00:00+05:30,879.0,889.5,872.1,880.45,133474,1
2015-03-04 00:00:00+05:30,881.1,919.0,878.8,897.45,291309,2
2015-03-05 00:00:00+05:30,899.9,909.75,896.0,905.1,137057,3
2015-03-09 00:00:00+05:30,896.0,896.0,860.15,864.55,170704,0
