date,open,high,low,close,volume,weekday
2016-08-31 00:00:00+05:30,274.2,305.3,274.2,299.95,79202585,2
2016-09-01 00:00:00+05:30,302.8,316.4,302.1,305.15,14689244,3
2016-09-02 00:00:00+05:30,306.5,308.95,298.55,301.25,4735855,4
2016-09-06 00:00:00+05:30,303.0,310.2,300.9,309.0,5773078,1
2016-09-07 00:00:00+05:30,308.85,312.7,302.4,304.25,4135173,2
2016-09-08 00:00:00+05:30,306.0,308.0,303.7,306.0,1484711,3
2016-09-09 00:00:00+05:30,303.0,303.65,298.1,299.0,1563635,4
2016-09-12 00:00:00+05:30,290.9,299.75,287.6,296.95,1779353,0
2016-09-14 00:00:00+05:30,299.1,303.3,296.0,296.95,1148592,2
2016-09-15 00:00:00+05:30,298.0,302.75,295.0,299.35,1288230,3
2016-09-16 00:00:00+05:30,300.6,304.5,299.45,301.8,1559076,4
2016-09-19 00:00:00+05:30,303.0,303.9,299.25,301.35,732837,0
2016-09-20 00:00:00+05:30,301.35,301.5,296.3,297.15,493343,1
2016-09-21 00:00:00+05:30,298.0,301.9,297.35,300.0,512999,2
2016-09-22 00:00:00+05:30,302.25,304.0,300.7,302.15,1107243,3
2016-09-23 00:00:00+05:30,303.0,307.95,301.4,303.3,1735881,4
2016-09-26 00:00:00+05:30,303.0,303.0,299.0,302.2,573498,0
2016-09-27 00:00:00+05:30,303.0,303.5,298.0,298.9,399580,1
2016-09-28 00:00:00+05:30,300.5,304.45,295.55,297.55,800367,2
2016-09-29 00:00:00+05:30,298.9,302.5,281.55,285.9,1238800,3
2016-09-30 00:00:00+05:30,287.0,293.8,286.05,291.2,678758,4
2016-10-03 00:00:00+05:30,298.5,299.9,295.2,297.6,770999,0
2016-10-04 00:00:00+05:30,299.1,299.95,296.5,297.55,638685,1
2016-10-05 00:00:00+05:30,299.8,299.9,295.0,295.65,629557,2
2016-10-06 00:00:00+05:30,299.0,307.5,296.0,304.3,2018179,3
2016-10-07 00:00:00+05:30,305.0,315.45,305.0,309.25,2853699,4
2016-10-10 00:00:00+05:30,311.9,314.9,308.65,313.1,870931,0
2016-10-13 00:00:00+05:30,310.0,311.4,303.8,306.25,634699,3
2016-10-14 00:00:00+05:30,307.0,321.3,306.4,314.7,2723451,4
